(a)_child  וָלָד
and=he/it_was  וַֽ=יְהִי
and=he/it_went  וַ=יֵּלֶךְ
and=he/it_went_out  וַ=יֵּצֵא
and=he/it_would_go_up  וְ=עָלָה
and=he_asked  וּ=בְעָה
and=he_assigned  וַ=יְמַן
and=he_assigned  וַ=יָּשֶׂם
and=he_blessed  וַ=יְבָרֶךְ
and=he_blew  וַ=יִּפַּח
and=he_brought  וַ=יָּבֵא
and=he_brought=her/it  וַ=יְבִאֶ=הָ
and=he_brought=them  וַ=יְבִיאֵ=ם
and=he_built  וַ=יִּבֶן
and=he_called  וַ=יִּקְרָא
and=he_clings  וְ=דָבַק
and=he_closed_up  וַ=יִּסְגֹּר
and=he_clothed=them  וַ=יַּלְבִּשֵׁ=ם
and=he_commanded  וַ=יְצַו
and=he_consecrated  וַ=יְקַדֵּשׁ
and=he_considered=her  וַ=יַּחְשְׁבֶ=הָ
and=he_created  וַ=יִּבְרָא
and=he_descended  וַ=יֵּרֶד
and=he_died  וַ=יָּמָת
and=he_drove_out  וַ=יְגָרֶשׁ
and=he_fathered  וַ=יּוֹלֶד
and=he_fell_asleep  וַ=יִּישָׁן
and=he_formed  וַ=יִּצֶר
and=he_found=them  וַֽ=יִּמְצָאֵ=ם
and=he_gave  וְ=נָתַן
and=he_gave  וַ=יִּתֵּן
and=he_has_made_known  וְ=הוֹדַע
and=he_hid_himself  וַ=יִּתְחַבֵּא
and=he_knew  וַ=יֵּדַע
and=he_laid_seige  וַ=יָּצַר
and=he_listened  וַ=יִּשְׁמַע
and=he_lived  וַ=יְחִי
and=he_lived  וַֽ=יְחִי
and=he_looked_around  וַ=יִּשַׁע
and=he_made  וַ=יַּעַשׂ
and=he_made_fall/lie_down  וַ=יַּפֵּל
and=he_made_sprout  וַ=יַּצְמַח
and=he_made_stay/reside  וַ=יַּשְׁכֵּן
and=he_passed_through  וַ=יַּעֲבֹר
and=he_planted  וַ=יִּטַּע
and=he_rested  וַ=יִּשְׁבֹּת
and=he_sacrificed  וַ=יִּזְבַּח
and=he_said  וַ=יֹּאמֶר
and=he_said  וַ=אֲמַר
and=he_sat_down//remained//lived  וַ=יֵּשֶׁב
and=he_saw  וַ=יַּרְא
and=he_scattered  וַ=יָּפֶץ
and=he_sent_out/away=him  וַֽ=יְשַׁלְּחֵ=הוּ
and=he_separated  וַ=יַּבְדֵּל
and=he_sighed/regretted  וַ=יִּנָּחֶם
and=he_sought  וַ=יְבַקֵּשׁ
and=he_spoke  וַ=יְדַבֵּר
and=he_tested=them  וַ=יְנַסֵּ=ם
and=he_took  וַ=יִּקַּח
and=he_took  וַ=יִּקַּֽח
and=he_walked/wandered  וַ=יִּתְהַלֵּךְ
and=he_was_born  וַ=יִּוָּלֵד
and=he_was_furious  וּ=קְצַף
and=he_was_worried/pained  וַ=יִּתְעַצֵּב
and=he_will_eat  וְ=אָכַל
and=he_will_live  וָ=חַי
and=he_will_take  וְ=לָקַח
and=heavens  וְ=שָׁמָיִם
and=her=daughters  וּ=בְנוֹתֶי=הָ
and=her=voice  וְ=קוֹלָ=הּ
and=Hevel/Abel  וְ=הֶבֶל
and=his=friends  וְ=חַבְרוֹ=הִי
and=his=house(hold)  וּ=בֵית=וֹ
and=his=name  וּ=שְׁמ=וֹ
and=his=sleep  וּ=שְׁנָת=וֹ
and=his=woman/wife  וְ=אִשְׁתּ=וֹ
and=hostility  וְ=אֵיבָה
and=human/Adam  וְ=אָדָם
and=I_ate  וָ=אֹכֵל
and=I_hid_myself  וָ=אֵחָבֵא
and=I_was_afraid  וָ=אִירָא
and=I_will_be  וְ=הָיִיתִי
and=I_will_bless  וַ=אֲבָרֲכָה
and=I_will_bless=you(ms)  וַ=אֲבָרֶכְ=ךָ
and=I_will_give=him  וּ=נְתַתִּי=ו
and=I_will_make=you(ms)  וְ=אֶֽעֶשְׂ=ךָ
and=I_will_make_big/great  וַ=אֲגַדְּלָה
and=if  וְ=הֵן
and=if  וְ=אִם
and=in/with=wine  וּ=בְ=יֵין
and=in=year_of  וּ=בִ=שְׁנַת
and=in_the=night  וּ=בַ=לַּיְלָה
and=increase/multiply  וּ=רְבוּ
and=Irad  וְ=עִירָד
and=iron  וּ=בַרְזֶל
and=it(f)_was_decaying/corrupt  וַ=תִּשָּׁחֵת
and=it/she_produced  וַ=תּוֹצֵא
and=it/she_was_filled  וַ=תִּמָּלֵא
and=it_became  וַ=תְּהִי
and=it_glowed/burned  וַ=יִּחַר
and=it_was  וְ=הָיָה
and=it_was_disturbed  וַ=תִּפָּעֶם
and=it_was_disturbed  וַ=תִּתְפָּעֶם
and=it_watered  וְ=הִשְׁקָה
and=its/his=head/top  וְ=רֹאשׁ=וֹ
and=its=interpretation  וּ=פִשְׁרֵ=הּ
and=Kalneh  וְ=כַלְנֵה
and=Kanaan  וּ=כְנָעַן
and=Kasday  וְ=כַשְׂדָּי
and=Kenaan  וּ=כְנַעַן
and=knowing_of  וְ=יֹדְעֵי
and=Kush  וְ=כוּשׁ
and=Lemek/Lamech  וְ=לֶמֶךְ
and=let_it_appear  וְ=תֵרָאֶה
and=let_it_be  וִ=יהִי
and=let_us_burn  וְ=נִשְׂרְפָה
and=let_us_confuse  וְ=נָבְלָה
and=livestock/cattle  וּ=מִקְנֶֽה
and=Lot  וְ=לוֹט
and=Maday  וּ=מָדַי
and=Magog  וּ=מָגוֹג
and=Mehuyael/Mehujael  וּ=מְחִיּיָאֵל
and=Meshek  וּ=מֶשֶׁךְ
and=Metushael/Methushael  וּ=מְתוּשָׁאֵל
and=Mizraim  וּ=מִצְרַיִם
and=Naftali  וְ=נַפְתָּלִי
and=Nahor  וְ=נָחוֹר
and=name_of  וְ=שֵׁם
and=near/to  וְ=אֶל
and=nine  וּ=תְשַׁע
and=ninety  וְ=תִשְׁעִים
and=Noah  וְ=נֹחַ
and=nodding/deploring/taunting  וָ=נָד
and=not  וְ=לֹא
and=not_existing=he  וְ=אֵינֶ=נּוּ
and=now  וּ=כְעַן
and=now  וְ=עַתָּה
and=on/over=all  וּ=בְ=כָל
and=on/over=bird_of  וּ=בְ=עוֹף
and=on/over=cattle/livestock  וּ=בַ=בְּהֵמָה
and=one_hundred  וּ=מְאַת
and=Pinehas  וּ=פִנְחָס
and=power  וְ=שַׁלִּיט
and=praising  וּ=מְשַׁבַּח
and=Put  וּ=פוּט
and=Qayin/Cain  וְ=קַיִן
and=Raamah  וְ=רַעְמָה
and=reed_instrument/flute  וְ=עוּגָב
and=revealer  וְ=גָלֵא
and=Rifat  וְ=רִיפַת
and=river  וְ=נָהָרּ
and=rule(pl)  וּ=רְדוּ
and=Sabtah  וְ=סַבְתָּה
and=Sabteka  וְ=סַבְתְּכָא
and=saying(ms)  וְ=אָמַר
and=seven  וְ=שִׁבְעָה
and=seven  וּ=שְׁבַע
and=seventy  וְ=שִׁבְעִים
and=she  וְ=הִיא
and=she_added  וַ=תֹּסֶף
and=she_arose  וַ=תָּקָם
and=she_ate  וַ=תֹּאכַל
and=she_called/named  וַ=תִּקְרָא
and=she_conceived/became_pregnant  וַ=תַּהַר
and=she_gave  וַ=תִּתֵּן
and=she_gave_birth  וַ=תֵּלֶד
and=she_prayed  וַ=תִּתְפַּלֵּל
and=she_said  וַ=תֹּאמַר
and=she_said  וַ=תֹּאמֶר
and=she_saw  וַ=תֵּרֶא
and=she_took  וַ=תִּקַּח
and=she_vowed  וַ=תִּדֹּר
and=she_wept  וַ=תִּבְכֶּה
and=Shelah  וְ=שֶׁלַח
and=sister_of  וַֽ=אֲחוֹת
and=sixty  וְ=שִׁשִּׁים
and=spirit  וְ=רוּחַ
and=stone_of  וְ=אֶבֶן
and=subdue/molest=it/her  וְ=כִבְשֻׁ=הָ
and=Tarshish  וְ=תַרְשִׁישׁ
and=the=bird  וְ=הָ=עוֹף
and=the=bitumen  וְ=הַ=חֵמָר
and=the=decree  וְ=דָתָ=א
and=the=earth  וְ=הָ=אָרֶץ
and=the=hidden  וּ=מְסַתְּרָתָ=א
and=the=humankind/Adam  וְ=הָ=אָדָם
and=the=interpretation  וּ=פִשְׁרָ=ה
and=the=interpretation  וּ=פִשְׁרָ=א
and=the=Kenaanite  וְ=הַ=כְּנַעֲנִי
and=the=knowledge  וּ=מַנְדְּעָ=א
and=the=light  ו=נהיר=א
and=the=matter  וּ=מִלְּתָ=א
and=the=power  וּ=גְבוּרְתָ=א
and=the=river  וְ=הַ=נָּהָר
and=the=seasons  וְ=זִמְנַיָּ=א
and=the=snake  וְ=הַ=נָּחָשׁ
and=the=youths  וְ=הַ=יְלָדִים
and=the_sons  וּ=בְנֵי
and=there  וְ=שָׁם
and=these  וְ=אֵלֶּה
and=they_appear  וְ=יֵרָאוּ
and=they_came  וַ=יָּבֹאוּ
and=they_fell  וַֽ=יִּפְּלוּ
and=they_found  וַ=יִּמְצְאוּ
and=they_gave_birth  וְ=יָלְדוּ
and=they_give  וְ=יִתְּנוּ
and=they_heard  וַֽ=יִּשְׁמְעוּ
and=they_knew  וַ=יֵּדְעוּ
and=they_lived  וַ=יֵּשְׁבוּ
and=they_made  וַ=יַּעֲשׂוּ
and=they_said  וְ=אָמְרִין
and=they_said  וַ=יֹּאמְרוּ
and=they_saw  וַ=יִּרְאוּ
and=they_sewed  וַֽ=יִּתְפְּרוּ
and=they_spoke  וַֽ=יְדַבְּרוּ
and=they_stood  וַ=יַּֽעַמְדוּ
and=they_stopped  וַ=יַּחְדְּלוּ
and=they_took  וַ=יִּקְחוּ
and=they_went_out  וַ=יֵּצְאוּ
and=they_were  וַ=יִּהְיוּ
and=they_were_born  וַ=יִּוָּלְדוּ
and=they_were_completed  וַ=יְכֻלּוּ
and=they_were_ended/finished  וַ=יְכַל
and=they_were_opened  וַ=תִּפָּקַחְנָה
and=they_were_sought  וּ=בְעוֹ
and=they_will_be  וְ=הָיוּ
and=they_will_be_blessed  וְ=נִבְרְכוּ
and=they_will_be_opened  וְ=נִפְקְחוּ
and=they_will_rule_over  וְ=יִרְדּוּ
and=thirty  וּ=שְׁלֹשִׁים
and=this  וְ=זֶה
and=thorn  וְ=קוֹץ
and=thorn/thistle  וְ=דַרְדַּר
and=three  וּ=שְׁלֹשׁ
and=thus/so/as_follows  וְ=כֵן
and=Tiras  וְ=תִירָס
and=to/for=all  וּ=לְ=כָל
and=to/for=all  וּ=לְ=כֹל
and=to/for=Azarya  וְ=לַ=עֲזַרְיָה
and=to/for=bird  וּ=לְ=עוֹף
and=to/for=days  וּ=לְ=יָמִים
and=to/for=Hananya  וְ=לַֽ=חֲנַנְיָה
and=to/for=Hannah  וּ=לְ=חַנָּה
and=to/for=him  וְ=ל=וֹ
and=to/for=his=woman/wife  וּ=לְ=אִשְׁתּ=וֹ
and=to/for=humankind  וּ=לְ=אָדָם
and=to/for=seasons  וּ=לְ=מוֹעֲדִים
and=to/for=Shet/Seth  וּ=לְ=שֵׁת
and=to/for=what_(why)  וְ=לָ=מֶה
and=to=from=(the)_end  וּ=לְ=מִ=קְצָת
and=to=guard/attend_to=her/it  וּ=לְ=שָׁמְרָ=הּ
and=to=Hananyah  וְ=לַ=חֲנַנְיָה
and=to=rule  וְ=לִ=מְשֹׁל
and=to=sacrifice  וְ=לִ=זְבֹּחַ
and=to=separate  וּ=לֲ=הַבְדִּיל
and=to=you(ms)  וְ=אֵלֶי=ךָ
and=to_the=collection  וּ=לְ=מִקְוֵה
and=to_the=darkness  וְ=לַ=חֹשֶׁךְ
and=to_the=Kasdim  וְ=לַ=כַּשְׂדִּים
and=to_the=sorcerers  וְ=לַֽ=מְכַשְּׁפִים
and=Togarmah  וְ=תֹגַרְמָה
and=tree  וְ=עֵץ
and=Tseboyim  וּ=צְבֹיִם
and=Tsillah/Zillah  וְ=צִלָּה
and=Tubal  וְ=תֻבָל
and=twenty  וְ=עֶשְׂרִים
and=two_hundreds  וּ=מָאתַיִם
and=understanding  וְ=הַשְׂכֵּל
and=understanding_of  וּ=מְבִינֵי
and=unto  וְ=עַד
and=vapour  וְ=אֵד
and=visions_of  וְ=חֶזְוֵי
and=was_desirable  וְ=נֶחְמָד
and=water  וּ=מַיִם
and=waters  לָ=מָיִם
and=we_eat  וְ=נֹאכְלָה
and=we_may_make  וְ=נַֽעֲשֶׂה
and=weeping  וּ=בָכֹה
and=which  וַ=אֲשֶׁר
and=wine  וְ=יֵין
and=wisdom  וְ=חָכְמָה
and=word  וּ=מִלָּה
and=words  וּ=דְבָרִים
and=wow=I  וְ=הִנְ=נִי
and=Yafet  וָ=יָפֶת
and=Yavan  וְ=יָוָן
and=years  וְ=שָׁנִים
and=YHWH  וַֽ=יהוָה
and=Yihudah  וִ=יהוּדָה
and=you(ms)  וְ=אַתָּה
and=you(ms)_will_cover  וְ=כָפַרְתָּ
and=you(ms)_will_eat  וְ=אָכַלְתָּ
and=you(ms)_will_give  וְ=נָתַתָּה
and=you(ms)_will_remember=me  וּ=זְכַרְתַּ=נִי
and=you(pl)_will_be  וִ=הְיִיתֶם
and=you_will_endanger  וְ=חִיַּבְתֶּם
and=your(fs)=pregnancy  וְ=הֵרֹנֵ=ךְ
and=your(pl)=houses  וּ=בָתֵּי=כוֹן
appearance  מַרְאֶה
aprons  חֲגֹרֹת
Aramit  אֲרָמִית
are=you(ms)=[question]  ה=איתי=ך
armies/angels  צְבָאוֹת
Arpakshad  אַרְפַּכְשָׁד
Arpakshad  אַרְפַּכְשַׁד
Aryok  אַרְיוֹךְ
as=to  כָּ=ל
Ashkenaz  אַשְׁכֲּנַז
Ashshur/Assyria  אַשּׁוּר
assured  אַזְדָּא
astrologers  גָּזְרִין
at=their=creation  בְּ=הִבָּרְאָ=ם
attempt/try/test  נַס
Aved  עֲבֵד
Avram  אַבְרָם
Azzah  עַזָּה
Babel  בָּבֶל
Babel  בָבֶל
be_able  כָּהֵל
be_able(mp)  יָכְלִין
be_fruitful  פְּרוּ
before  קֳדָם
before/not_yet  טֶרֶם
before=me  קֳדָמָ=י
beginning_of  רֵאשִׁית
behind  בְּעַד
behold/lo/see!  הִנֵּה
being/animal  חַיַּת
being_urgent  מְהַחְצְפָה
below/instead_of  תַּחַת
Beltesatstsar  בֵּלְטְשַׁאצַּר
between  בֵּין
between=you(ms)  בֵּינְ=ךָ
big/great  גָּדוֹל
bird  עוֹף
blemish  מאום
bless=you(ms)  מְבָרְכֶי=ךָ
blessing  מְבָרַךְ
blessing  בְּרָכָה
bloods_of  דְּמֵי
bone/body  עֶצֶם
border  גְּבוּל
both_eyes_of  עֵינֵי
both_of=them  שְׁנֵי=הֶם
box  תֵּבַת
breath_of  נִשְׁמַת
bricks  לְבֵנִים
bring_in/escort=me  הַעֵלְ=נִי
building  בֹּנֶה
bush/shrub_of  שִׂיחַ
cattle/livestock  בְּהֵמָה
certainty  יַצִּיב
changing  מְהַשְׁנֵא
chief  שַׂר
children  בָנִים
children/youths  יְלָדִים
clans_of  מִשְׁפְּחֹת
clans_of  מִשְׁפְּחוֹת
coastlands  אִיֵּי
come=now!  הָבָ=ה
considerable/exceedingly  שַׂגִּיא
copper/brass/bronze//coin  נְחֹשֶׁת
corresponding  קֳבֵל
counsel  עֵטָא
creature  נֶפֶשׁ
creeping_(thing)  רוֹמֵשׂ
creeping_(thing)_of  רֶמֶשׂ
crouching  רֹבֵץ
cunning  עָרוּם
cursing  אָרוּר
cursing  אֲרוּרָה
Dan  דָּן
Daniyyel  דָנִיֵּאל
Daniyyel  דָּנִיֵּאל
daughter_of  בַּת
daughters_of  בְּנוֹת
day  יוֹם
days  יָמִים
days_of  יְמֵי
dejected(pl)  זֹֽעֲפִים
desirable  נֶחְמָד
difficult  יַקִּירָה
discernment  בִינָה
DOM  אֵת
DOM  אֶת
DOM  אֶֽת
DOM=it/her  אֹתָ=הּ
DOM=it/him  אֹת=וֹ
DOM=me  אֹתִ=י
DOM=them  אֹתָ=ם
donation/offering  מִנְחָה
doorpost  מְזוּזַת
dreams  חֲלֹמוֹת
drinking  שָׁתֹה
dust  עָפָר
earth/land  אֶרֶץ
east_of  קִדְמַת
eating  אָכְלָה
Eden  עֵדֶן
Efrayim  אֶפְרָיִם
eight  שְׁמֹנֶה
Eli  עֵלִי
Elihu  אֱלִיהוּא
Elishah  אֱלִישָׁה
Elkanah  אֶלְקָנָה
Elohim  אֱלֹהִים
Enosh  אֱנוֹשׁ
enough/great(fs)  רַבָּה
entire/complete/moral  תָּמִים
evening  עֶרֶב
Ever  עֵבֶר
evil  רָעַת
evil  רַע
extremity/end_of  קֵץ
fabricating  חֹרֵשׁ
face/surface_of  פְּנֵי
false  כִדְבָה
father_of  אֲבִי
fathering=by_him  הוֹלִיד=וֹ
fearing  יָרֵא
fifth  חֲמִישִׁי
fig/fig_tree  תְאֵנָה
finding=him/it  מֹצְא=וֹ
finding=me  מֹצְאִ=י
firmament  רָקִיעַ
firmament_of  רְקִיעַ
five  חֲמֵשׁ
five  חָמֵשׁ
flame_of  לַהַט
flesh/meat  בָּשָׂר
flesh/meat  בָשָׂר
flock_of_sheep/goats  צֹאן
food/delicacy  פַּתְבַּג
food/grain/bread  לֶחֶם
for=ages  לְ=עָלְמִין
for=doing  לַ=עֲשׂוֹת
for=dominion  לְ=מֶמְשֶׁלֶת
for=food  לְ=אָכְלָה
for=food  לְ=מַאֲכָל
for=him/it  לּ=וֹ
for=him=being_alone  לְ=בַדּ=וֹ
for=lights  לִ=מְאוֹרֹת
for=seeing  לִ=רְאֹת
for=so/thus/hence  לָ=כֵן
form/conception/purpose  יֵצֶר
formlessness  תֹהוּ
forty  אַרְבָּעִים
four  אַרְבַּע
fourth  רְבִיעִי
from/more_than  מִן
from=(the)_chief  מִ=שַּׂר
from=(the)_sons  מִ=בְּנֵי
from=all  מִ=כָּל
from=all  מִ=כֹּל
from=all=them  מִ=כֻּלָּ=ם
from=bit  מִ=פַּת
from=days  מִ=יָּמִים
from=east  מִ=קֶּדֶם
from=Eden  מֵ=עֵדֶן
from=face/in_front_of  מִ=פְּנֵי
from=Haran  מֵ=חָרָן
from=her/it  מִמֶּ=נָּה
from=hill  מֵ=הַר
from=him/it  מִמֶּ=נּוּ
from=his=ribs/planks  מִ=צַּלְעֹתָי=ו
from=humankind  מֵ=אָדָם
from=its=fruit  מִ=פִּרְי=וֹ
from=lifting/bearing  מִ=נְּשֹׂא
from=long_ago/eternity  מֵ=עוֹלָם
from=man  מֵ=אִישׁ
from=me  מִנִּ=י
from=Miʦrayim/Egypt  מִ=מִּצְרַיִם
from=my=bones  מֵ=עֲצָמַ=י
from=my=flesh/body  מִ=בְּשָׂרִ=י
from=our=work/action  מִ=מַּעֲשֵׂ=נוּ
from=sufficiency  מִ=דֵּי
from=ten  מֵ=עֲשָׂרָה
from=their=face/front  מִ=פְּנֵי=הֶם
from=them  מֵ=הֶם
from=there  מִ=שָּׁם
from=these  מֵ=אֵלֶּה
from=to/for=face/front/presence  מִ=לִּ=פְנֵי
from=tree  מֵ=עֵץ
from=Tsidon  מִ=צִּידֹן
from=under  מִ=תַּחַת
from=under  מֵ=עַל
from=Ur  מֵ=אוּר
from=you(ms)  מִנָּ=ךְ
from=your(ms)=hand  מִ=יָּדֶֽ=ךָ
from=your(ms)=land  מֵ=אַרְצְ=ךָ
from_the=end/extremity  מִ=קֵּץ
from_the=firstborn  מִ=בְּכֹרוֹת
from_the=fruit  מִ=פְּרִי
from_the=garden  מִ=גַּן
fruit  פְרִי
fruit(sg)  פְּרִי
Gad  גָּד
gaining  זָבְנִין
garden  גַּן
garments_of  כָּתְנוֹת
gifts  מַתְּנָן
Gihon  גִּיחוֹן
giving  יָהֵב
go  לֶךְ
God_of  אֱלָהּ
gods  אֱלָהִין
going_out  יֹצֵא
Gomer  גֹּמֶר
good  טוֹב
good(fp)  טֹבֹת
gopher/cypress???  גֹפֶר
graciousness/kindness/favour/beauty  חֵן
great//chief/captain  רַב
greenery  יֶרֶק
Ham  חָם
hammering/sharpening  לֹטֵשׁ
Hananya  חֲנַנְיָה
hands  יָדוֹת
Hannah  חַנָּה
Hanok/Enoch  חֲנוֹךְ
Haran  הָרָן
Haran  חָרָן
harp  כִּנּוֹר
Havvah/Eve  חַוָּה
he/it  הוּא
he/it_appeared  נִרְאָה
he/it_deceived/seduced=me  הִשִּׁיאַ=נִי
he/it_gave  נָתַן
he/it_loosens/relinquishes  יַעֲזָב
he/it_was_heard  יִשָּׁמֵעַ
he/it_will_be_called  יִקָּרֵא
he/it_will_rule/strive  יָדוֹן
he/it_will_smite/kill=me  יַהַרְגֵ=נִי
he=will_console/comfort_us  יְנַחֲמֵ=נוּ
he_appointed  מַנִּי
he_asked  שְׁאֵל
he_asked  בִּקֵּשׁ
he_began  הֵחֵל
he_brought  הֵבִיא
he_brought_in/escorted  הַנְעֵל
he_called  קָרָא
he_called/named  יִקְרָא
he_came  בָּא
he_closed  סָגַר
he_confused  בָּלַל
he_created  בָּרָא
he_created=them  בְּרָאָ=ם
he_dreamed  חָלַם
he_fathered  יָלַד
he_fathered  הוֹלִיד
he_found  מָצָא
he_gave  יִתֵּן
he_had_caused_rain  הִמְטִיר
he_had_formed  יָצָר
he_had_made  עָשָׂה
he_had_said  אָמַר
he_had_said  דִּבֶּר
he_had_taken  לָקַח
he_has_assigned  מִנָּה
he_has_cursed=her/it  אֵרְרָ=הּ
he_informed=you(ms)  הוֹדְעָ=ךְ
he_killed=him  הֲרָג=וֹ
he_lived  חַי
he_looked/gazed  שָׁעָה
he_loved  אָהֵב
he_made/did  יַעֲשֶׂה
he_made_known  הוֹדַע
he_placed/appointed  שָׁת
he_praised  בָּרִךְ
he_rested  שָׁבַת
he_returned  הֲתִיב
he_said  אֲמַר
he_scattered=them  הֱפִיצָ=ם
he_told  הִגִּיד
he_understood  הֵבִין
he_walked_around  הִתְהַלֶּךְ
he_was_angry  בְּנַס
he_was_born  יֻלַּד
he_was_found  נִמְצָא
he_was_taken  לֻקַּח
he_was_watching  שֹׁמֵר
he_went_forth  יָצָא
he_went_off  אֲזַל
he_went_out  נְפַק
he_will_be_avenged/punished  יֻקָּם
he_will_be_avenged/punished  יֻקַּם
he_will_call/name  יִּקְרָא
he_will_crush/cover_over=you(ms)  יְשׁוּפְ=ךָ
he_will_defile_himself  יִתְגָּאָל
he_will_defile_himself  יִתְגָּאַל
he_will_rule  יִמְשָׁל
he_will_see  יִרְאֶה
he_will_send_out/away  יִשְׁלַח
he_would_be_able  יוּכַל
he_would_grant  יִנְתֵּן
he_would_inform=it  יְחַוִּנַּ=הּ
head  רֹאשׁ
heads  רָאשִׁים
heavens  שָׁמָיִם
heel/hoof//track  עָקֵב
helper  עֵזֶר
her/its=vigor/produce  כֹּחָ=הּ
her=heart  לִבָּ=הּ
her=husband/man  אִישָׁ=הּ
her=lips  שְׂפָתֶי=הָ
her=mouth  פִּי=הָ
her=seed/fruit  זַרְעָ=הּ
her=sons  בָּנֶי=הָ
her=womb/uterus  רַחְמָ=הּ
herbs/vegetables  זֵרְעֹנִים
herding_of  רֹעֵה
Het  חֵת
Hevel/Abel  הָבֶל
